Point ID,Local_N,Local_E,Local_Z,interp_Z
157,4621021.893,385881.5185,1.57,1.64326
158,4620995.585,385889.2923,1.68,1.74419
159,4620985.728,385869.0642,1.5,1.8271
160,4620964.772,385862.8095,1.47,1.71
161,4620937.629,385875.4163,1.48,1.68265
162,4620905.249,385896.3479,1.48,1.63407
163,4620893.014,385936.541,1.498,1.6427
164,4620871.509,385952.2536,1.53,1.60729
165,4620847.769,385969.1432,1.55,1.81231
166,4620820.383,385949.0175,1.58,1.73354
167,4620787.363,385931.7745,1.58,1.75418
168,4620747.773,385920.5249,1.6,1.63702
169,4620701.336,385914.6427,1.58,1.78947
170,4620692.289,385897.9227,1.6,1.66
171,4620676.284,385883.4708,1.63,1.6941
172,4620652.027,385899.8368,1.61,1.77652
173,4620636.881,385887.9726,1.6,1.83484
174,4620626.637,385903.6032,1.56,1.76694
175,4620713.186,385924.4525,1.59,1.74975
176,4620727.593,385940.913,1.595,1.6623
177,4620754.75,385966.265,1.605,1.658
178,4620743.306,385998.5409,1.62,1.6928
179,4620721.99,386024.6568,1.625,1.69
180,4620692.163,386052.1299,1.66,1.69944
181,4620671.884,386079.0771,1.66,1.79845
182,4620667.349,386098.8579,1.71,1.9
183,4620672.832,386113.8951,1.69,1.86204
184,4620673.36,386134.6203,1.678,1.8424
185,4620698.24,386136.0511,1.591,1.7851
186,4620711.157,386114.9338,1.64,1.775
187,4620731.622,386099.965,1.649,1.7679
188,4620751.642,386095.0752,1.63,1.79287
189,4620770.285,386120.1199,1.66,1.74654
190,4620786.893,386132.8174,1.61,1.76262
191,4620806.784,386117.0502,1.58,1.734
192,4620803.186,386088.0456,1.57,1.77
193,4620769.521,386077.8173,1.6,1.71205
194,4620737.002,386068.9538,1.61,1.69269
195,4620744.392,386035.2699,1.6,1.77529
196,4620742.922,386027.697,1.613,1.6499
197,4620771.953,386033.5472,1.6,1.75126
198,4620789.671,386013.5375,1.58,1.70745
199,4620808.642,386036.3758,1.57,1.73693
200,4620841.692,386044.7084,1.56,1.74
201,4620855.408,386020.3418,1.6,1.68718
202,4621237.469,385958.1613,4.71,4.75733
203,4621237.49,385957.065,4.6373,4.663
204,4621236.454,385957.009,4.678,4.7353
205,4621236.367,385958.0248,4.81,4.85233
206,4621118.128,386156.4828,2.68,2.85188
207,4621200.477,386169.3813,10.2,10.31299
209,4621211.36,386199.7434,8.753,8.7567
210,4621283.268,386248.4907,1.84,1.89868
212,4621336.363,386192.4726,9.73,9.76795
214,4621304.999,385993.272,7.766,7.8355
215,4621322.722,385988.0826,9.25,9.29863
216,4621342.934,385984.2614,3.61,3.66
217,4621403.994,385930.669,2.187,2.2678
218,4621419.632,385911.6673,1.74,1.8
219,4621441.174,385920.2727,1.67,1.75824
220,4621490.953,385915.3147,2.22,2.3
221,4621547.74,385909.1347,4.868,4.9815
222,4621548.617,385922.4356,3.7,3.82844
223,4621550.024,385937.6032,2.75,2.84473
224,4621555.558,385951.5798,2.21,2.30202
225,4621547.668,385987.75,2.4892,2.604
226,4621550.466,386035.0668,6.52,6.72139
227,4621536.218,386081.3972,7.13,7.24119
228,4621529.305,386097.9478,8.96,9.06179
229,4621497.6,386122.9829,9.0921,9.155
230,4621472.066,386132.6154,7.46,7.52203
231,4621457.959,386133.1071,6.02,6.09435
232,4621460.828,386151.2093,8.89,8.98324
234,4621501.853,386162.0606,3.55,3.67199
235,4621546.824,386161.2399,7.27,7.24485
236,4621563.428,386166.277,2.222,2.3293
237,4621573.437,386168.1582,2.56,2.64802
238,4621582.421,386170.2632,2.74,2.80101
239,4621593.173,386172.1114,2.39,2.4541
240,4621601.862,386174.0541,1.65,1.66909
241,4621608.994,386175.8124,0.81,0.84168
242,4621617.801,386178.0877,0,-0.03492
243,4621627.012,386179.9808,-0.9,-0.92763
244,4621619.607,386188.5422,-0.3,-0.37793
245,4621609.419,386200.9997,0.45,0.46497
246,4621596.18,386213.3644,1.729,1.7268
247,4621580.037,386226.8094,2.32,2.34149
248,4621569.36,386238.5507,2.248,2.253
